,ticker,year,month,Stock Price on day of recommendation,Stock Price after 4 weeks,Rating_Category,Value,transaction_type_category,percentage_of_market_cap
10111,POOL,2019,10,214.590576171875,205.136459350585,1.0,-3225370,0.0,0.00021051852440621605
10112,POOL,2020,2,233.514373779296,179.767623901367,1.0,-15658630,0.0,0.0010220362034863
10113,POOL,2020,3,185.917938232421,189.945404052734,1.0,-1855105,0.0,0.0001210818760085465
10114,POOL,2020,4,211.788925170898,236.906219482421,1.0,-4076884,0.0,0.0002660985425383
10115,POOL,2020,5,240.4471664428705,260.9320373535155,1.0,-18671873,0.0,0.0012186959711326
10116,POOL,2020,10,350.0434722900385,360.9264068603515,1.0,-5916039,0.0,0.0003861356523265
10117,PPG,2012,3,40.9842643737793,45.044635772705,1.0,-467012,0.0,1.3314232255628765e-05
10118,PPG,2012,7,49.054328918457,48.034447987874266,1.0,-25774462,0.0,0.000734836768821667
10119,PPG,2012,8,48.5691947937011,47.5463142395019,1.0,-2587878,0.0,7.378074676923352e-05
10120,PPG,2013,1,61.4908409118652,60.4967308044433,1.0,-26567206,0.0,0.0007574261149356874
10121,PPG,2013,4,62.750453948974574,70.0893402099609,1.0,-1004006,0.0,2.862412537570973e-05
10122,PPG,2014,4,87.8448657989502,88.22172164916992,1.0,-5581122,0.0,0.00015911816160595288
10123,PPG,2014,7,93.9449424743652,91.59495925903315,1.0,-19982462,0.0,0.0005697032826988
10124,PPG,2014,11,97.3490447998046,103.022262573242,1.0,-1615290,0.0,4.605214036135471e-05
10125,PPG,2015,1,103.64159011840749,106.8240203857415,1.0,-1899985,0.0,5.416882848743906e-05
10126,PPG,2015,10,90.39465713500971,92.7626800537109,1.0,-3199569,0.0,9.122095639419905e-05
10127,PPG,2016,2,81.7626876831054,94.6194458007812,1.0,-7680549,0.0,0.00021897667956526014
10128,PPG,2016,7,98.5222396850586,98.6046066284179,1.0,-4367014,0.0,0.0001245011292311
10129,PPG,2019,5,111.477256774902,103.911361694335,1.0,-339452,0.0,9.677075947156076e-06
